2-03-652407-9;L'histoire du monde;;;;;;Larousse;1996;127 p.;29 cm;Jeunesse;17,1839931491808
2-09-211352-6;Les grands explorateurs;à la découverte du monde;Platt;Richard;;;Nathan;2004;96 p.;20 cm;Jeunesse;7,97448220268937
2-09-211353-4;Mythes et monstres;dragons, géants, créatures bizarres;Buller;Laura;;;Nathan;2004;96 p.;20 cm;Jeunesse;7,12233519051053
2-09-211355-0;Les gladiateurs;des combattants sans merci;Malam;John;;;Nathan;2004;96 p.;20 cm;Jeunesse;21,0565275064887
2-09-211356-9;Méchants et truands;escrocs, espions, criminels;Platt;Richard;;;Nathan;2004;96 p.;20 cm;Jeunesse;26,5652098649185
2-200-26655-3;Petite histoire de la France au 20e siècle;;Prost;Antoine;;;Armand Colin;2003;160 p.;24 x 16 cm;Adulte;78,7621730442406
2-205-05466-X;La ligne de front;;Larcenet;Manu;;;Dargaud;2004;48 p.;30 cm;Adulte;30,7422508331494
2-215-07596-1;Argile au tour;;Tardio-Brise;Liliane;;;Ed. Fleurus;2003;44 p.;25 cm;Jeunesse;33,0764332014199
2-215-07597-X;Collages de serviettes pour le jardin et la maison;;Enderlen-Debuisson;Marie;;;Fleurus;2004;79 p.;26 cm;Jeunesse;14,8725356164018
2-215-07678-X;J'apprends à dessiner la vie quotidienne;;Legendre-Kvater;Philippe;;;Fleurus;2004;95 p.;24 x 22 cm;Jeunesse;35,2947418418031
2-215-08062-0;La mer;;Bélineau;Nathalie;Beaumont;Emilie;Ed. Fleurus;2004;57 p.;24 cm;Jeunesse;67,6550254016696
2-246-50031-1;In extremis;roman;Morrell;David;;;Grasset;1995;347 p.;23 cm;Adulte;8,79893272281475
2-7324-2964-3;Gauchos de Patagonie;;Bourseiller;Philippe;Chaix;Jean-François;La Martinière;2003;132 p.;32 cm;Adulte;16,2938760047073
2-7427-4845-8;cahier jaune (Le);;Sautereau;François;;;Actes Sud junior;2004;1 vol. (213 p.);18 x 13 cm;Jeunesse;79,3056388926115
2-84565-735-8;Rufus le loup;;Tarek;;Morinière;Aurélien;Soleil;2004;31 p.;33 cm;Jeunesse;77,3609671591494
2-84755-055-0;Le chêne parlant;;Sand;George;;;Saint-Mont;DL 2004;1 vol. (67 p.);10 x 14 cm;Jeunesse;8,37887941365085
2-84789-206-0;Contes et récits vietnamiens;;Minh Than;;;;Delcourt jeunesse;2004;31 p.;30 cm;Jeunesse;42,6776267614544
