978-2-266-17442-8,extraordinaires aventures de Tom Scatterhorn (Les),,Chancellor,Henry,,,Pocket Jeunesse,2011,Jeunesse
2-03-652407-9,L'histoire du monde,,,,,,Larousse,1996,Jeunesse
978-2-8098-0563-5,L'eau des anges,roman,Egémar,Béatrice,,,Galapagos,impr. 2011,Jeunesse
978-2-36231-035-5,Quand on parle du loup,,Harrison,Lisi,,,Castelmore,impr. 2011,Jeunesse
978-2-226-20937-5,étang aux libellules (L'),,Ibbotson,Eva,,,Albin Michel-Jeunesse,2011,Jeunesse
978-2-8098-0564-2,Avant les ténèbres,,Cluzeau,Nicolas,,,Galapagos,impr. 2011,Jeunesse
2-84789-206-0,Contes et récits vietnamiens,,Minh Than,,,,Delcourt jeunesse,2004,Jeunesse
978-2-01-201748-1,La boussole du Club des cinq,,Blyton,Enid,,,Hachette jeunesse,DL 2009,Jeunesse
978-2-7470-2469-3,Momo,,Ende,Michael,,,Bayard jeunesse,impr. 2009,Jeunesse
2-84789-206-0,Contes et récits vietnamiens,,Minh Than,,,,Delcourt jeunesse,2004,Jeunesse
978-2-35504-169-3,Je m'appelle pas Ben Laden !,,Chambaz,Bernard,,,Rue du monde,impr. 2011,Jeunesse
978-2-211-20802-4,"Ogres, brigands et compagnie",,Ungerer,Tomi,Ungerer,Tomi,l'Ecole des loisirs,DL 2011,Jeunesse
978-2-246-78070-0,Le cochon enchanté,conte roumain,,,,,Grasset,DL 2011,Jeunesse
,"Gazette des communes,des départements,des régions (La)",,,,,,,2015,Adulte
2-7324-2964-3,Gauchos de Patagonie,,Bourseiller,Philippe,Chaix,Jean-François,La Martinière,2003,Adulte
978-2-88908-063-2,A minuit,,Mörike,Eduard,Binder,Hannes,la Joie de lire,DL 2011,Jeunesse
978-2-01-202410-6,Les cinq mènent l'enquête,une nouvelle aventure des personnages créés par Enid Blyton,Voilier,Claude,,,Hachette jeunesse,DL 2011,Jeunesse
