2-03-652407-9;L'histoire du monde;;;;;;Larousse;1996;127 p.;29 cm;Jeunesse;17,1839931491808;https://static.fnac-static.com/multimedia/Images/FR/NR/b7/bd/a6/10927543/1540-1/tsp20190522175121/Le-Petit-Laroue-de-l-Histoire-du-Monde.jpg;"""De la Préhistoire aux dernières missions sur Mars, de Cléopâtre à Angela Merkel, de grandes constructions antiques à la COP 21, des Pyramides d’Égypte au One World Trade Center, de la découverte de l’Amérique à l’affaire Snowden et au Brexit… Que faut-il retenir ? Qu’est-ce qui est important ? Comment retrouver rapidement une information ?
Cet ouvrage, très complet et extrêmement pratique, vous aidera à retenir l’essentiel de l’histoire du monde, grâce à :
• Un découpage chronologique en 8000 dates regroupées en 6 grandes périodes
• Un résumé de chaque période expliquant les faits politiques, culturels et sociaux qu’il faut retenir
• Une présentation hiérarchisée et commentée des faits et des personnages
• Un cahier couleur de 50 cartes pour mieux se repérer, situer et retrouver les liens entre les événements et les lieux
• Un index pratique de plus de 15 000 noms pour trouver facilement un roi, un traité, une bataille, un événement, etc.""."
2-09-211352-6;Les grands explorateurs;à la découverte du monde;Platt;Richard;;;Nathan;2004;96 p.;20 cm;Jeunesse;7,97448220268937;https://products-images.di-static.com/image/brigitte-coppin-les-grands-explorateurs/9782215164289-475x500-1.webp;Un ouvrage passionnant pour découvrir les plus grands explorateurs_x000D_ - Plus de 50 photos pour découvrir les plus grands explorateurs de tous les temps, de Magellan à Thomas Pesquet, en passant par Christophe Colomb, Livingstone, James Cook, Alexandra David-Néel ou encore Jacques-Yves Cousteau_x000D_ _x000D_ - Des images à découper
2-09-211353-4;Mythes et monstres;dragons, géants, créatures bizarres;Buller;Laura;;;Nathan;2004;96 p.;20 cm;Jeunesse;7,12233519051053;https://products-images.di-static.com/image/laura-buller-mythes-et-monstres/9782092113530-475x500-1.webp;Plus de 100 photos pour découvrir monstres et créatures fantastiques qui hantent les légendes d'Orient et d'Occident, dragons cracheurs de feu, sorciers polymorphes, elfes et géants... Un texte simple pour se familiariser avec les grands mythes et toutes les créatures étranges de diverses cultures. C'est bon à savoir ! présente une foule d'informations sur des personnages terrifiants ! Doc.Internet propose en haut de page des sites pour frissonner davantage. Le Point Doc réunit en fin de livre une chronologie des grands mythes, une liste des monstres, des canulars inventés et un lexique sinistre. 
2-09-211355-0;Les gladiateurs;des combattants sans merci;Malam;John;;;Nathan;2004;96 p.;20 cm;Jeunesse;21,0565275064887;https://images-na.ssl-images-amazon.com/images/I/51QQ1V6M3ZL._SX303_BO1,204,203,200_.jpg;Une Grande Imagerie richement illustrée pour découvrir les gladiateurs, ces combattants qui se donnaient en spectacle et qui étaient considérés par le peuple comme de véritables héros. 
2-09-211356-9;Méchants et truands;escrocs, espions, criminels;Platt;Richard;;;Nathan;2004;96 p.;20 cm;Jeunesse;26,5652098649185;https://static.fnac-static.com/multimedia/images_produits/ZoomPE/1/6/5/9782092113561/tsp20130828084322/Mechants-et-truands.jpg;Plus de 100 photos pour voir à l'œuvre les plus grands bandits, espions et escrocs de l'Histoire. Un texte simple expose les méfaits et peines qui ont rendu tristement célèbres ces rois de la tricherie, du mensonge ou du crime, et essaie de faire la part de la légende et de la réalité. C'est bon à savoir ! présente une foule d'anecdotes terrifiantes, mais vraies. Doc.Internet propose en haut de page des sites essentiels pour lire l'histoire de ces méchants. Le Point Doc réunit une liste des plus grands dossiers criminels, un tableau des différents corps de police et des peines appliquées.
2-200-26655-3;Petite histoire de la France au 20e siècle;;Prost;Antoine;;;Armand Colin;2003;160 p.;24 x 16 cm;Adulte;78,7621730442406;https://fr.shopping.rakuten.com/photo/1283587599.jpg;Pour comprendre l'évolution de la France du début du 20e siècle à nos jours, voici un manuel court qui est en même temps une synthèse originale. C'est un manuel : plan clair, repères chronologiques au début de chaque chapitre, annexes statistique et bibliographique, notices sur les principaux hommes politiques. L'essentiel est dit. Pour les étudiants d'histoire et d'études politiques, les élèves des classes préparatoires aux grandes écoles, les candidats aux concours d'enseignement et aux concours administratifs, il constituera un utile instrument de travail. Il est court : 160 pages, y compris les annexes et les cartes. C'est une synthèse : l'auteur ne se limite pas à tel ou tel aspect de l'évolution française , il ne traite pas seulement l'histoire politique ou la croissance économique. Il s'efforce au contraire de nouer solidement ensemble l'économique, le social et le politique, et de montrer leurs influences réciproques. 
2-205-05466-X;La ligne de front;;Larcenet;Manu;;;Dargaud;2004;48 p.;30 cm;Adulte;30,7422508331494;https://products-images.di-static.com/image/manu-larcenet-la-ligne-de-front/9782205054668-475x500-1.webp; En 1987, Jean Rolin parcourt l'Afrique australe, de Dar es-Salam à Capetown, à travers les pays que réunit, du moins en théorie, leur opposition au régime d'apartheid. Au fil de ses tribulations, certaines rencontres l'enrichissent : Robert, un révolutionnaire au bout du rouleau, expatrié à Zanzibar , Ned et Joan, fermiers blancs cloîtrés au Zimbabwe derrière leur enceinte grillagée, ou encore une prostituée indienne 'semi-devine' de Durban, qu'il rêve d'arracher à son sort. D'autres le mettent en rage, telle cette 'Carabosse envuitonnée' qui lui gâche le panorama des chutes Victoria. Et puis il y a les décors, qui le transportent : le vert affolant d'une plantation de thé, le chaos urbain, les chants d'oiseaux dans la nuit africaine... 
2-215-07596-1;Argile au tour;;Tardio-Brise;Liliane;;;Ed. Fleurus;2003;44 p.;25 cm;Jeunesse;33,0764332014199;https://images-na.ssl-images-amazon.com/images/I/51M67XBHCJL._SX335_BO1,204,203,200_.jpg;Avec ce livre, tourner de l'argile devient un vrai jeu d'enfant! Découvrez tous ses secrets et tournez comme un vrai potier. Tous les gestes sont décrits de façon très simple : comment placer une boule de terre sur la girelle, la centrer, la creuser, l'ouvrir et monter la paroi avec les mains. Réalisez au fil des pages 16 magnifiques objets expliqués au moyen de pas à pas illustrés : un photophore, une boîte, des vases, une assiette, un porte-crayons... 
2-215-07597-X;Collages de serviettes pour le jardin et la maison;;Enderlen-Debuisson;Marie;;;Fleurus;2004;79 p.;26 cm;Jeunesse;14,8725356164018;https://media.electre-ng.com/images/image-id/bed3a97a4f156bdaafb76b4aee0931241939ecda3e64ae210bf38877da3b1f55.jpg;"Le collage de serviettes ouvre à tous les portes de la création. La technique est si simple et le résultat si surprenant : il suffit de découper des motifs dans des serviettes en papier décorées et de les coller à l'aide du vernis-colle adapté sur le support de son choix. Aujourd'hui, les vernis se déclinent pour mieux "" coller "" aux supports ! Spécial textile ou porcelaine, ils savent se faire discrets pour donner encore plus l'illusion d'un décor peint à la main. Dans cet ouvrage, l'auteur apporte de nouvelles idées de création : porte-clefs, panetière, tableau de soliflores, panneau mural en textile ou chapeau de rabane... Le choix est large ! Toutes les réalisations sont expliquées en pas à pas et présentées dans des ambiances différentes pour que chacun trouve matière à créer. "
2-215-07678-X;J'apprends à dessiner la vie quotidienne;;Legendre-Kvater;Philippe;;;Fleurus;2004;95 p.;24 x 22 cm;Jeunesse;35,2947418418031;https://images-na.ssl-images-amazon.com/images/I/515bbh+Uv0L.jpg;Nouveau volume de la série « J’apprends à dessiner », signé Philippe Legendre. L’auteur, par cet ouvrage pratique, propose aux enfants d’acquérir les bases du dessin, en représentant facilement des situations de la vie quotidienne. A la maison, à l’école ou en vacances, chaque page propose un « vocabulaire de formes » et quatre étapes simples pour mieux réussir le dessin final. Une compilation certes déjà vue mais facilement utilisable.
